Wed Jan 16 04:13:01 UTC 2008
33:	129.108.202.11:5850	planetlab2.utep.edu
34:	128.220.247.28:5850	planetlab1.isi.jhu.edu
35:	131.179.112.70:5850	Planetlab1.CS.UCLA.EDU
36:	169.229.50.15:5850	planetlab13.Millennium.Berkeley.EDU
37:	129.137.253.252:5850	planetlab2.uc.edu
38:	128.112.139.96:5850	planetlab-4.CS.Princeton.EDU
39:	128.232.103.201:5850	planetlab1.xeno.cl.cam.ac.uk
40:	128.208.4.199:5850	planetlab03.cs.washington.edu
41:	194.80.38.243:5850	planetlab2.cs-ipv6.lancs.ac.uk
42:	193.1.201.26:5850	planetlab-1.tssg.org
43:	193.136.191.26:5850	planetlab-2.iscte.pt
44:	150.65.32.68:5850	planet1.jaist.ac.jp
45:	136.145.115.196:5850	planetlab-02.ece.uprm.edu
46:	192.6.26.33:5850	pli2-pa-3.hpl.hp.com
47:	203.178.133.11:5850	203.178.133.11
48:	128.31.1.12:5850	planetlab2.csail.mit.edu
49:	128.112.139.73:5850	planetlab-3.CS.Princeton.EDU
50:	129.137.253.253:5850	planetlab1.uc.edu
51:	131.246.191.41:5850	planetlab1.itwm.fhg.de
52:	129.170.214.192:5850	planetlab2.cs.dartmouth.edu
53:	128.31.1.17:5850	planetlab7.csail.mit.edu
54:	139.19.142.1:5850	planetlab01.mpi-sws.mpg.de
55:	129.105.44.253:5850	planetlab2.cs.northwestern.edu
56:	128.252.19.21:5850	vn2.cse.wustl.edu
57:	129.22.150.105:5850	planetlab-2.EECS.CWRU.Edu
58:	139.19.142.4:5850	planetlab04.mpi-sws.mpg.de
59:	142.150.238.13:5850	pl2.csl.utoronto.ca
60:	128.10.19.53:5850	planetlab2.cs.purdue.edu
61:	129.240.67.18:5850	planetlab4.ifi.uio.no
62:	128.163.142.20:5850	planetlab1.netlab.uky.edu
63:	163.221.11.74:5850	planetlab-04.naist.jp
64:	192.33.90.66:5850	planetlab1.inf.ethz.ch
65:	219.243.200.53:5850	dlut1.6planetlab.edu.cn
66:	128.112.139.78:5850	planetlab-10.CS.Princeton.EDU
67:	128.232.103.203:5850	planetlab3.xeno.cl.cam.ac.uk
68:	219.243.200.93:5850	ustc1.6planetlab.edu.cn
69:	128.42.6.143:5850	ricepl-1.cs.rice.edu
70:	152.15.98.227:5850	planetlab02.uncc.edu
71:	169.229.50.14:5850	planetlab12.Millennium.Berkeley.EDU
72:	129.22.150.90:5850	planetlab-1.EECS.CWRU.Edu
73:	128.10.19.52:5850	planetlab1.cs.purdue.edu
74:	128.252.19.20:5850	vn1.cse.wustl.edu
75:	64.161.10.2:5850	64.161.10.2
76:	206.207.248.34:5850	planetlab1.arizona-gigapop.net
77:	128.208.4.198:5850	planetlab02.cs.washington.edu
78:	169.229.50.11:5850	planetlab9.Millennium.Berkeley.EDU
79:	128.232.103.202:5850	planetlab2.xeno.cl.cam.ac.uk
80:	141.213.4.201:5850	planetlab1.eecs.umich.edu
81:	63.64.153.84:5850	63.64.153.84
82:	163.221.11.71:5850	planetlab-01.naist.jp
83:	128.208.4.99:5850	planetlab04.cs.washington.edu
84:	128.151.65.102:5850	planet2.cs.rochester.edu
85:	12.46.129.15:5850	planet5.berkeley.intel-research.net
86:	130.161.40.153:5850	planetlab1.ewi.tudelft.nl
87:	139.19.142.5:5850	planetlab05.mpi-sws.mpg.de
88:	141.76.45.17:5850	planet1.inf.tu-dresden.de
89:	150.65.32.66:5850	planet0.jaist.ac.jp
90:	128.119.247.210:5850	planetlab1.cs.umass.edu
91:	128.223.8.112:5850	planetlab2.cs.uoregon.edu
92:	132.68.237.34:5850	ds-pl1.technion.ac.il
93:	152.3.138.5:5850	planetlab5.cs.duke.edu
94:	132.252.152.194:5850	planetlab2.exp-math.uni-essen.de
95:	128.31.1.14:5850	planetlab4.csail.mit.edu
96:	64.161.10.3:5850	64.161.10.3
97:	63.64.153.82:5850	63.64.153.82
98:	192.42.83.252:5850	192.42.83.252
99:	130.136.254.21:5850	planetlab1.CS.UniBO.IT
100:	128.59.20.226:5850	planetlab1.cs.columbia.edu
101:	128.192.101.217:5850	itchy.cs.uga.edu
102:	128.2.223.65:5850	PLANETLAB-3.CMCL.CS.CMU.EDU
103:	128.59.20.227:5850	planetlab2.cs.columbia.edu
104:	128.31.1.11:5850	planetlab1.csail.mit.edu
105:	128.220.231.3:5850	128.220.231.3
106:	63.64.153.83:5850	63.64.153.83
107:	128.8.126.111:5850	salt.planetlab.cs.umd.edu
108:	128.31.1.16:5850	planetlab6.csail.mit.edu
109:	128.220.231.2:5850	128.220.231.2
110:	129.10.120.193:5850	planetlabone.ccs.neu.edu
111:	75.130.96.13:5850	75-130-96-13.static.oxfr.ma.charter.com
112:	202.244.160.251:5850	202.244.160.251
113:	128.42.6.145:5850	ricepl-3.cs.rice.edu
114:	194.29.178.13:5850	planetlab3.mini.pw.edu.pl
115:	192.33.210.16:5850	lsirextpc01.epfl.ch
116:	169.229.50.16:5850	planetlab14.Millennium.Berkeley.EDU
117:	128.252.19.22:5850	vn3.cse.wustl.edu
118:	194.70.143.50:5850	system18.ncl-ext.net
119:	143.215.129.115:5850	planet2.cc.gt.atl.ga.us
120:	141.24.249.130:5850	planetlab2.fem.tu-ilmenau.de
121:	132.68.237.36:5850	ds-pl3.technion.ac.il
122:	35.9.27.26:5850	planetlab1.cse.msu.edu
123:	195.130.121.204:5850	planetlab1.cs.uoi.gr
124:	203.178.133.3:5850	planetlab1.otemachi.wide.ad.jp
125:	128.135.11.149:5850	planetlab1.cs.uchicago.edu
126:	200.132.0.70:5850	planetlab2.pop-rs.rnp.br
127:	150.165.15.19:5850	planetlab2.lsd.ufcg.edu.br
128:	128.84.154.49:5850	planetlab1.cs.cornell.edu
129:	192.6.19.120:5850	grouse.hpl.external.hp.com
130:	193.136.227.163:5850	planetlab1.fct.ualg.pt
131:	158.130.6.254:5850	planetlab1.cis.UPENN.EDU
132:	194.36.10.154:5850	194.36.10.154
133:	69.110.237.115:5850	69.110.237.115
134:	194.80.38.242:5850	planetlab1.cs-ipv6.lancs.ac.uk
135:	128.138.207.181:5850	planetlab1.cs.colorado.edu
136:	129.69.210.97:5850	planetvs2.informatik.uni-stuttgart.de
137:	141.76.45.18:5850	planet2.inf.tu-dresden.de
138:	216.165.109.82:5850	planet2.scs.cs.nyu.edu
139:	128.223.8.113:5850	planetlab3.cs.uoregon.edu
140:	128.238.88.64:5850	planetlab1.poly.edu
141:	12.46.129.22:5850	planet2.berkeley.intel-research.net
142:	131.246.191.42:5850	planetlab2.itwm.fhg.de
143:	129.130.252.138:5850	plab1.eece.ksu.edu
144:	219.243.200.81:5850	uestc1.6planetlab.edu.cn
145:	129.82.12.187:5850	planetlab-1.cs.colostate.edu
146:	140.247.60.126:5850	righthand.eecs.harvard.edu
147:	132.252.152.193:5850	planetlab1.iem.uni-due.de
148:	12.46.129.14:5850	planet4.berkeley.intel-research.net
149:	128.59.20.228:5850	planetlab3.cs.columbia.edu
150:	192.42.83.251:5850	192.42.83.251
151:	128.84.154.71:5850	planetlab2.cs.cornell.edu
152:	203.30.39.241:5850	planetlab2.singaren.net.sg
153:	129.170.214.191:5850	planetlab1.cs.dartmouth.edu
154:	220.245.140.197:5850	220-245-140-197.static.tpgi.com.au
155:	133.11.240.56:5850	planetlab1.iii.u-tokyo.ac.jp
156:	129.69.210.96:5850	planetvs1.informatik.uni-stuttgart.de
157:	129.108.202.10:5850	planetlab1.utep.edu
158:	193.174.67.186:5850	planet01.HHI.FRAUNHOFER.DE
159:	128.135.11.152:5850	planetlab3.cs.uchicago.edu
160:	206.117.37.4:5850	206.117.37.4
161:	219.243.201.17:5850	thu2.6planetlab.edu.cn
162:	155.98.35.2:5850	planetlab1.flux.utah.edu
